AFFX-BioB-5_at (endogenous control),AFFX-BioB-5_at
MYC V-myc avian myelocytomatosis viral oncogene homolog,M13929_s_at
IGF2 Insulin-like growth factor 2 (somatomedin A),J03242_s_at
IGF2 Insulin-like growth factor 2 (somatomedin A),M17863_s_at
Polymyositis/Scleroderma (Pm-Scl) Autoantigen, Alt. Splice 2,HG36-HT4101_s_at
Amyloid Beta (A4) Precursor Protein, Alt. Splice 2, A4(751),HG3638-HT3849_s_at
Amyloid Beta (A4) Precursor Protein, Alt. Splice 4,HG3638-HT3993_s_at
Udp-Glucuronosyltransferase 1 Family, Polypeptide 1, Alt. Splice 1,HG3703-HT3915_s_at
UDP-GLUCURONOSYLTRANSFERASE 1F PRECURSOR, MICROSOMAL,J04093_s_at
Mucin 1, Epithelial, Alt. Splice 6,HG371-HT1063_s_at
Mucin 1, Epithelial, Alt. Splice 9,HG371-HT26388_at
Mucin 1, Epithelial, Alt. Splice 9,HG371-HT26388_s_at
Insulin-Like Leydig Hormone,HG3725-HT3981_s_at
Tyrosine Kinase Syk,HG3730-HT4000_s_at
P72syk {G insertion nucleotide 92} [human, Jurkat E6-1 J.CaM1 cells, mRNA Partial Mutant, 1909 nt],S80267_s_at
MAGE-4a antigen (MAGE4a) gene,U10687_s_at
Cell Division Cycle Protein 2-Related Protein Kinase (Pisslre),HG3914-HT4184_s_at
Homeotic Protein A1, Class I, Alt. Splice 1,HG3920-HT4521_s_at
Surfacant Protein Sp-A2 Delta,HG3925-HT4195_at
Surfacant Protein Sp-A2 Delta,HG3925-HT4195_s_at
Surfacant Protein Sp-A1 Delta,HG3928-HT4198_at
Surfacant Protein Sp-A1 Delta,HG3928-HT4198_s_at
Landsteiner-Wiener Blood Group Glycoprotein (Lw) (Gb:L27671),HG3954-HT4224_s_at
GNAS1 Guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1,X77588_s_at
Dystrophin-Associated Glycoprotein, 50 Kda, Alt. Splice 2,HG4011-HT4804_s_at
Transglutaminase,HG4020-HT4290_s_at
GB DEF = Endogenous retrovirus type C oncovirus sequence,M74509_s_at
Transcription Factor Hbf-2,HG4063-HT4333_s_at
Transcription Factor Lsf-Id,HG4094-HT4364_s_at
Adrenergic Receptor, Alpha 1b,HG4099-HT4369_s_at
MAS1 MAS1 oncogene,M13150_s_at
Olfactory Receptor Or17-219,HG4116-HT4386_s_at
Olfactory Receptor Or17-201,HG4113-HT4383_s_at
Protein Kinase Pitslre, Alpha, Alt. Splice 2-1,HG4120-HT4392_s_at
Zinc Finger Protein Hzf8,HG4155-HT4425_s_at
Cathepsin B,HG417-HT417_s_at
GRIN1 Glutamate receptor, ionotropic, N-methyl D-aspartate 1,L13266_s_at
Urokinase-type plasminogen activator receptor gene extracted from Human urokinase-type plasminogen receptor,U09937_rna1_s_at
GLUD1 Glutamate dehydrogenase,M20867_s_at
Guanine Nucleotide-Binding Protein Rab5c-Like Protein,HG4264-HT4534_s_at
Lim-Domain Transcription Factor Lim-1,HG4318-HT4588_s_at
Glycogenin,HG4334-HT4604_s_at
Immunoglobulin Recombination Signal Sequence Binding Protein, Alt. Splice 3,HG4517-HT4920_s_at
Dematin,HG4535-HT4940_s_at
SMA5 mRNA,U19251_s_at
Transcription Factor Mef2, Alt. Splice 2,HG4668-HT5083_s_at
RET Ret proto-oncogene (multiple endocrine neoplasia MEN2A, MEN2B and medullary thyroid carcinoma 1, Hirschsprung disease),M57464_s_at
Tumor Necrosis Factor Receptor 2 Associated Protein Trap3,HG4683-HT5108_s_at
Spinal Muscular Atrophy 4,HG4755-HT5203_s_at
Oncogene Mll-Af4, Fusion Activated,HG4757-HT5207_s_at
PML Probable transcription factor PML {alternative products},M79463_s_at
GB DEF = Fusion protein mRNA,M82827_s_at
Rhesus (Rh) Blood Group System Ce-Antigen, Alt. Splice 2, Rhvi,HG627-HT5097_s_at
Rhesus (Rh) Blood Group System Ce-Antigenl, Alt. Splice 3, Rhviii,HG627-HT5098_s_at
NKG2-A AND NKG2-B TYPE II INTEGRAL MEMBRANE PROTEINS,X54867_s_at
CBL Cas-Br-M (murine) ecotropic retroviral transforming sequence,X57110_s_at
Alpha adducin mRNA, partial cds including alternate exons A and B,L07261_s_at
Adducin, Alpha Subunit, Alt. Splice 3,HG651-HT5209_s_at
Erythrocyte adducin alpha subunit gene extracted from Human DNA sequence from cosmid L25A3, Huntingtons Disease Region, chromosome 4p16.3 contains Human tetracycline transporter-like protein and erythrocyte adducin alpha subunit, multiple ESTs and a putative CpG island,Z68280_cds2_s_at
Cytochrome P450 db1 variant a,X07618_s_at
Placental Protein 14, Endometrial Alpha 2 Globulin, Alt. Splice 3,HG721-HT4828_s_at
Placental Protein 14, Endometrial Alpha 2 Globulin, Alt. Splice 2,HG721-HT4827_s_at
Adrenergic Receptor, Beta 1,HG759-HT759_s_at
Dna Excision Repair Protein Ercc6,HG855-HT855_s_at
Transition Protein 2,HG862-HT862_s_at
Mucin 6, Gastric (Gb:L07517),HG880-HT880_at
Mucin 6, Gastric (Gb:L07517),HG880-HT880_s_at
Oncogene E6-Ap, Papillomavirus,HG884-HT884_s_at
CD70 CD70 antigen (CD27 ligand),L08096_s_at
Dopamine Receptor D4,HG944-HT944_s_at
GB DEF = Dopamine D4 receptor {exon 1} [human, brain tumor tissue, mRNA Partial Mutant, 386 nt],S76942_s_at
Nucleic Acid-Binding Protein (Gb:L12693),HG945-HT945_s_at
CEL Carboxyl ester lipase (bile salt-stimulated lipase),X54457_s_at
VASOACTIVE INTESTINAL POLYPEPTIDE RECEPTOR 1 PRECURSOR,X77777_s_at
Pre-T/Nk-Cell-Associated Protein 1f6,HG982-HT982_s_at
Sulfotransferase, Phenol-Preferring,HG998-HT998_s_at
ACTB Actin, beta,M10277_s_at
SIGNAL TRANSDUCER AND ACTIVATOR OF TRANSCRIPTION 1-ALPHA/BETA,M97935_s_at
Fetal gene for apolipoprotein AI precursor,X01038_rna1_s_at
BETA-2-MICROGLOBULIN PRECURSOR,J00105_s_at
COL2A1 Collagen, type II, alpha 1 (primary osteoarthritis, spondyloepiphyseal dysplasia, congenital),J00116_s_at
Interferon beta 1 gene extracted from Gene for human fibroblast interferon beta 1,V00535_rna2_s_at
IFNG Interferon, gamma,J00219_s_at
IG EPSILON CHAIN C REGION,L00022_s_at
Ig alpha 2=immunoglobulin A heavy chain allotype 2 {constant region, germ line} [human, peripheral blood neutrophils, Genomic, 1799 nt],S71043_rna1_s_at
(hybridoma H210) anti-hepatitis A IgG variable region, constant region, complementarity-determining regions mRNA,M87789_s_at
INS Insulin,J00268_s_at
Metallothionein isoform 2,V00594_at
Metallothionein isoform 2,V00594_s_at
(genomic clones lambda-[SK2-T2, HS578T]; cDNA clones RS-[3,4, 6]) c-Ha-ras1 proto-oncogene, complete coding sequence,V00574_s_at
PRL Prolactin,M29386_s_at
mRNA fragment encoding beta-tubulin. (from clone D-beta-1),V00599_s_at
Non-histone chromosomal protein HMG-14 mRNA,J02621_s_at
ANT2 Adenine nucleotide translocator 2 (fibroblast),J02683_s_at
APOLIPOPROTEIN A-IV PRECURSOR,J02758_s_at
P4HB Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide (protein disulfide isomerase; thyroid hormone binding protein p55),X05130_s_at
F3 Coagulation factor III (thromboplastin, tissue factor),M27436_s_at
CYP4B1 Cytochrome P450 IVB1,J02871_s_at
Factor VII serine protease precursor mRNA, clone lambda-HVII2463,M13232_s_at
PLATELET GLYCOPROTEIN IB ALPHA CHAIN PRECURSOR,M22403_s_at
SOD3 Superoxide dismutase 3, extracellular,J02947_s_at
Unknown protein gene extracted from Human beta-2-adrenergic receptor gene,J02960_cds1_s_at
GYPE Glycophorin E,M29610_at
GYPE Glycophorin E,M29610_s_at
GLYCOPHORIN B PRECURSOR,U05255_at
GLYCOPHORIN B PRECURSOR,U05255_s_at
FGF4 Fibroblast growth factor 4 (heparin secretory transforming protein 1, Kaposi sarcoma oncogene),M17446_s_at
CA2 Carbonic anhydrase II,Y00339_s_at
Protein kinase C substrate 80K-H gene (PRKCSH),U50327_s_at
PSAP Sulfated glycoprotein 1,J03077_s_at
TGFB3 Transforming growth factor, beta 3,J03241_s_at
TOP1 DNA topoisomerase I,U07804_s_at
TOP1 DNA topoisomerase I,U07806_s_at
LAMP1 Lysosome-associated membrane protein 1,J03263_s_at
COL1A2 Collagen, type I, alpha-2,Z74616_s_at
SERUM AMYLOID A PROTEIN PRECURSOR,X51441_at
SERUM AMYLOID A PROTEIN PRECURSOR,X51441_s_at
EPHX1 Epoxide hydrolase 1, microsomal (xenobiotic),L25878_s_at
IGF2R Insulin-like growth factor 2 receptor,Y00285_s_at
CR2 Complement component (3d/Epstein Barr virus) receptor 2,M26004_s_at
GB DEF = EBV/C3d receptor {alternatively spliced, exons 8a,9,10} [human, Jurkat T cells, mRNA Partial, 151 nt],S62696_s_at
GB DEF = Parathyroid hormone-related protein mRNA,M17183_s_at
PTHLH gene (parathyroid hormone-like protein A) extracted from Human parathyroid hormone-like protein (PLP) gene,M24351_cds3_s_at
PAI2 Plasminogen activator inhibitor, type II (arginine-serpin),M31551_s_at
UMPS gene extracted from Human UMP synthase mRNA,J03626_rna1_s_at
GB DEF = Activin beta-A subunit (exon 2),X57579_s_at
Annexin V (ANX5) gene, 5-untranslated region,U01691_s_at
GB DEF = Plasminogen activator inhibitor type 1 N-terminus,X04729_s_at
MICROTUBULE-ASSOCIATED PROTEIN TAU,J03778_s_at
LYZ Lysozyme,M21119_s_at
GB DEF = Parathyroid hormone-like protein (PLP) gene, exon 4, clones lambda-PLPg(1,3,7-2),M24349_s_at
GB DEF = Parathyroid hormone-related protein (PTHrP) mRNA, 5 flank, clone pBRF52,M26958_s_at
Phosphatase 2A mRNA, partial cds,J03805_s_at
GSTM4 Glutathione S-transferase M4,M96233_s_at
GB DEF = Alpha2-C4-adrenergic receptor gene,U72648_s_at
INTERPHOTORECEPTOR RETINOID-BINDING PROTEIN PRECURSOR,J05253_s_at
NMOR1 NAD(P)H:menadione oxidoreductase,J03934_s_at
Keratin 10 type I intermediate filament (KRT10) mRNA,J04029_s_at
CALMODULIN,J04046_s_at
SCYA4 Small inducible cytokine A4 (homologous to mouse Mip-1b),M69203_s_at
SCYA4 Small inducible cytokine A4 (homologous to mouse Mip-1b),J04130_s_at
M1S1 gene extracted from Human gastrointestinal tumor-associated antigen GA733-1 protein gene, clone 05516,J04152_rna1_s_at
Leukosialin (CD43) gene,M61827_rna1_s_at
SSB Sjogren syndrome antigen B (autoantigen La),X14684_s_at
ACP5 Acid phosphatase 5, tartrate resistant,J04430_s_at
PGC Gastricsin (pepsinogen C),U75272_s_at
FGF2 Fibroblast growth factor 2 (basic),M27968_s_at
SNRPB Small nuclear ribonucleoprotein polypeptides B and B1,X17567_s_at
SmB protein gene extracted from Human gene for small nuclear ribonucleoproteins SmB and SmB,X52979_rna1_s_at
GFAP Glial fibrillary acidic protein,S40719_s_at
EEF1A1 Translation elongation factor 1-alpha-1,J04617_s_at
GB DEF = mRNA fragment for elongation factor TU (N-terminus),X03689_s_at
MSH3 MutS (E. coli) homolog 3,J04810_s_at
(clone pA3) protein disulfide isomerase related protein (ERp72) mRNA,J05016_rna1_s_at
CTSE Cathepsin E,J05036_s_at
RYR1 gene extracted from Human ryanodine receptor mRNA,J05200_rna1_s_at
PCSK2 Proprotein convertase subtilisin/kexin type 2,J05252_s_at
MUC1 Mucin 1, transmembrane,J05582_s_at
TIMP2 Tissue inhibitor of metalloproteinase 2,M32304_s_at
ITGB5 Integrin beta-5 subunit,X53002_s_at
MHC cell surface glycoprotein (HLA-DQA) mRNA, 3end,M34996_s_at
HLA-DQA1 MHC class II DQ alpha,K01160_s_at
GB DEF = IL-2=interleukin-2 [human, brain, mRNA, 418 nt],S77835_s_at
INTERLEUKIN-2 PRECURSOR,X00695_s_at
C9 Complement component C9,X02176_s_at
GB DEF = T-cell receptor active alpha-chain mRNA from Jurkat cell line,K02777_s_at
PRH1 Proline-rich protein HaeIII subfamily 1,M13058_s_at
HPR from  Human haptoglobin and haptoglobin-related protein (HP and HPR) genes./ntype=DNA /annot=mRNA,M69197_xpt2_s_at
GB DEF = Green cone photoreceptor pigment gene 1, exon 6,K03494_s_at
Pol protein from  Human endogenous retrovirus HERV-K22 pol and envelope ORF region./ntype=DNA /annot=CDS,K03498_xpt1_s_at
RENIN PRECURSOR, RENAL,M26901_s_at
ANTITHROMBIN-III PRECURSOR,M21642_at
ANTITHROMBIN-III PRECURSOR,M21642_s_at
CALCR Calcitonin receptor,X69920_s_at
FNTA Farnesyltransferase, CAAX box, alpha,L00634_s_at
AUTOANTIGEN PM-SCL,X66113_s_at
RD Radin blood group,L03411_s_at
FGFR4 Fibroblast growth factor receptor 4,L03840_s_at
ZNF148 Zinc finger protein 148 (pHZ-52),U09851_s_at
RPS21 Ribosomal protein S21,L04483_s_at
IRF1 Interferon regulatory factor 1,L05072_s_at
PHOSPHOENOLPYRUVATE CARBOXYKINASE, CYTOSOLIC,L12760_s_at
HISTATIN 3 PRECURSOR,M26665_at
HISTATIN 3 PRECURSOR,M26665_s_at
DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 1,L05624_s_at
MULTIDRUG RESISTANCE-ASSOCIATED PROTEIN 1,L05628_s_at
ATP7A ATPase, Cu++ transporting, alpha polypeptide (Menkes syndrome),Z94753_s_at
GB DEF = Calcium, calmodulin-dependent protein kinase II gamma mRNA, partial cds,U50360_s_at
SOX2 SRY (sex determining region Y)-box 2,Z31560_s_at
NPY1R Neuropeptide Y receptor Y1,M88461_s_at
Keratinocyte lectin 14 (HKL-14) mRNA,U06643_s_at
GB DEF = DLX-2 (Dlx2) mRNA,U51003_s_at
TFF3 Trefoil factor 3 (intestinal),L08044_s_at
MEF2C MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C),S57212_s_at
APLP2 Amyloid beta (A4) precursor-like protein 2,L09209_s_at
Neuroendocrine-specific protein A (NSP) mRNA,L10333_s_at
SCN1B Sodium channel, voltage-gated, type I, beta polypeptide,L10338_s_at
EEF1A2 Eukaryotic translation elongation factor 1 alpha 2,X70940_s_at
TDF Zinc finger protein Y-linked (ZFY),M30607_s_at
CSN2 Beta-casein,X13766_s_at
CSN2 Beta-casein,L10615_s_at
Carbonic anhydrase IV gene extracted from Human carbonic anhydrase IV gene, promoter region and,L10955_cds1_s_at
LTB Lymphotoxin-beta,U89922_s_at
MITOCHONDRIAL STRESS-70 PROTEIN PRECURSOR,L15189_s_at
GP5 Glycoprotein V (platelet),L11238_s_at
C4BPB Complement component 4-binding protein, beta,L11244_s_at
Phospholipase D mRNA,L11701_s_at
Hormone-sensitive lipase testicular isoform mRNA,U40002_s_at
Hepatocyte growth factor-like protein gene,U37055_rna1_s_at
CAMP phosphodiesterase mRNA, 3 end,U67932_s_at
RARG Retinoic acid receptor, gamma 1,L12060_s_at
TKT Transketolase (Wernicke-Korsakoff syndrome),L12711_s_at
Receptor protein 4-1BB mRNA,U03397_s_at
GSTalpha locus gene (glutathione S-transferase) extracted from H.sapiens GSTalpha gene for glutathione S-tranferase exon 2,X65727_cds2_s_at
Beta adaptin protein mRNA,L13939_s_at
GK Glycerol kinase,X68285_s_at
GK Glycerol kinase,X69886_s_at
MHC class I-related protein mRNA,L14848_s_at
GB DEF = Clone hRCNC2b retinal rod cyclic nucleotide-gated cation channel gene,L15296_s_at
CNCG2 Cyclic nucleotide gated channel (photoreceptor), cGMP gated 2 (beta),U58837_s_at
PRHX Proline-rich homeodomain-containing transcription factor (symbol provisional),X67235_s_at
SERINE/THREONINE-PROTEIN KINASE RECEPTOR R3 PRECURSOR,L17075_s_at
Complement receptor 1 gene extracted from Human complement receptor type 1 (alleles S and F) gene, enhancer and,L17418_cds2_s_at
GB DEF = NF-kappa-B p65delta3 mRNA, spliced transcript lacking exons 6 and 7, partial cds,U33838_at
GB DEF = NF-kappa-B p65delta3 mRNA, spliced transcript lacking exons 6 and 7, partial cds,U33838_s_at
Of p65 gene encoding p65 subunit of transcription factor NF-kappaB,Z22951_rna1_s_at
CCKAR Cholecystokinin A receptor,U23430_s_at
FMR1 Fragile X mental retardation 1,M67468_s_at
FRAGILE X MENTAL RETARDATION 1 PROTEIN,L19493_s_at
GB DEF = Interleukin-8 receptor type B (IL8RB) mRNA, splice variant IL8RB4, partial cds,U11875_s_at
HOMEOBOX/POU DOMAIN PROTEIN RDC-1,X64624_s_at
GB DEF = Truncated dopamine D3 receptor mRNA,L20469_s_at
Cell division control related protein (hCDCrel-1) mRNA,U59632_s_at
PDE4A Phosphodiesterase 4A, cAMP-specific (dunce (Drosophila)-homolog phosphodiesterase E2),S75213_s_at
3,5-cyclic AMP phosphodiesterase inactive splice variant HSPDE4A8A mRNA,U18088_s_at
GB DEF = Plasma membrane calcium ATPase,X63575_s_at
Lysyl oxidase-like protein gene,U24389_s_at
Alpha palindromic binding protein mRNA,U02683_s_at
Nuclear respiratory factor 1 (NRF-1) gene,U18383_s_at
MATRILYSIN PRECURSOR,L22524_s_at
GB DEF = Corticotropin releasing factor receptor mRNA,L23333_s_at
GB DEF = B-lymphocyte cell-surface antigen B1 (CD20),M27394_s_at
DDIT1 DNA-damage-inducible transcript 1,M60974_s_at
DCI Dodecenoyl-Coenzyme A delta isomerase (3,2 trans-enoyl-Coenzyme A isomerase),L24774_s_at
COL15A1 Collagen, type XV, alpha 1,L25286_s_at
PAX2 Paired box homeotic gene 2,M89470_s_at
GB DEF = Paired-box protein PAX2 (PAX2) gene, exon 11 and complete cds,U45255_s_at
LBR Lamin B receptor,L25931_s_at
STRESS-ACTIVATED PROTEIN KINASE JNK1,U35005_s_at
Neuron-specific RNA recognition motifs (RRMs)-containing protein [human, hippocampus, mRNA, 1992 nt],S69265_s_at
Anion exchange protein mRNA,L27213_s_at
IGFBP5 Insulin-like growth factor binding protein 5,M62782_s_at
IGFBP5 Insulin-like growth factor binding protein 5,L27559_s_at
CAB3b mRNA for calcium channel beta3 subunit,L27584_s_at
FMR1 Fragile X mental retardation 1,X69962_s_at
GB DEF = Tryptophan hydroxylase (Tph) mRNA,L29306_s_at
GRB2 Growth factor receptor-bound protein 2,M96995_s_at
GB DEF = GPSAT=glycophorin SAT [human, peripheral bloods, mRNA Partial, 407 nt],S77893_s_at
PROBABLE G PROTEIN-COUPLED RECEPTOR GPR3,L32831_s_at
GB DEF = 4-aminobutyrate aminotransferase [human, neuroblastoma BE cells, mRNA Partial, 1352 nt],S75578_s_at
GB DEF = Gamma-aminobutyric acid transaminase mRNA, partial cds,U80226_s_at
RAD52 RAD52 (S. cerevisiae) homolog,L33262_s_at
X-LINKED HELICASE II,L34363_s_at
ATP6B2 ATPase, H+ transporting, lysosomal (vacuolar proton pump), beta polypeptide, 56/58kD, isoform 2,L35249_s_at
CSaids binding protein (CSBP1) mRNA,L35253_s_at
Phosphodiesterase I alpha,L46720_s_at
Intercrine-alpha (hIRH) mRNA,U19495_s_at
VIP2 receptor,X95097_rna1_s_at
GB DEF = EHK-1 receptor tyrosine kinase,X95425_s_at
GB DEF = JNK activating kinase (JNKK1) mRNA,U17743_s_at
NEUTROPHIL ACTIVATING PROTEIN ENA-78 PRECURSOR,L37036_s_at
MeCP-2 gene,X94628_rna1_s_at
GB DEF = (clone hEHK1-L) EHK1 receptor tyrosine kinase ligand (EFL-2) mRNA,L37360_s_at
Lamin B gene extracted from Human lamin B mRNA,M34458_rna1_s_at
GB DEF = POU-domain transcription factor (N-Oct-3),L37868_s_at
ARF4L ADP-ribosylation factor 4-like,L38490_s_at
CD40 receptor associated factor 1 (CRAF1) mRNA,U15637_s_at
DDB1 Damage-specific DNA binding protein 1 (127 kD),U32986_s_at
GB DEF = Thyroid receptor interactor (TRIP13) mRNA, partial cds,L40384_s_at
DP2 (Humdp2) mRNA,L40386_s_at
(clone S31i125) mRNA, 3 end of cds,U61734_s_at
STAT5A Signal transducer and activator of transcription 5A,U43185_s_at
GCNT1 Glucosaminyl (N-acetyl) transferase 1, core 2 (beta-1,6-N-acetylglucosaminyltransferase),M97347_s_at
GB DEF = Retinoblastoma susceptibility protein (RB1) I66D 4 bp deletion mutant (resulting in premature stop at amino acid 134) gene, exon 4 (L11910 bases 41867-42075),L49209_s_at
PP2A B56-beta mRNA,L42374_s_at
(clone EST02946) mRNA,L43575_s_at
GB DEF = Clone 110298 map Xq28, mRNA sequence,L43579_at
GB DEF = Clone 110298 map Xq28, mRNA sequence,L43579_s_at
DNL1L gene extracted from Homo sapiens chromosome X region from filamin (FLN) gene to glucose-6-phosphate dehydrogenase (G6PD) genes,L44140_cds4_s_at
High-mobility group phosphoprotein isoform I-C (HMGIC) mRNA,U28749_s_at
HMGI-C,X92518_s_at
EEF1A1 Translation elongation factor 1-alpha-1,L47125_s_at
EEF1A1 Translation elongation factor 1-alpha-1,Z37987_s_at
GB DEF = (cell line HL-60) alpha topoisomerase truncated-form mRNA, 3UTR,L47276_s_at
ZFM1 protein alternatively spliced product,Y08765_s_at
GB DEF = Splicing factor, SF1-Bo isoform,Y08766_s_at
IAP homolog C (MIHC) mRNA,U37546_s_at
Inhibitor of apoptosis protein 1 mRNA,U45878_s_at
(clone cc44) senilin 1 (PS1; S182) mRNA,L76528_s_at
FMR2 Fragile X mental retardation 2,U48436_s_at
FMR2 Fragile X mental retardation 2,X95463_s_at
Metabotropic glutamate receptor 1 alpha (mGluR1alpha) mRNA,U31215_s_at
Metabotropic glutamate receptor 1 beta (mGluR1beta) mRNA,U31216_s_at
RPS11 Ribosomal protein S11,L77567_s_at
XPF Xeroderma pigmentosum, complementation group F,U64315_s_at
GB DEF = Brca1-delta11b (Brca1) mRNA,U64805_s_at
Interferon-induced leucine zipper protein (IFP35) mRNA, partial cds,U72882_s_at
INS Insulin,V00565_s_at
INSR Insulin receptor,M10051_s_at
VON WILLEBRAND FACTOR PRECURSOR,M10321_s_at
ASGR2 Asialoglycoprotein receptor 2,M11025_s_at
Mutant coseg gene for vasopressin-neurophysin precursor,X62891_s_at
A2M Alpha-2-macroglobulin,M11313_s_at
EEF1G Translation elongation factor 1 gamma,X05855_at
EEF1G Translation elongation factor 1 gamma,X05855_s_at
GB DEF = DNA for cellular retinol binding protein (CRBP) exons 3 and 4,X07438_s_at
ERBB2 V-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2 (neuro/glioblastoma derived oncogene homolog),X03363_s_at
OIAS (2-5) oligoadenylate synthetase,X02875_s_at
ADH1 Alcohol dehydrogenase 1 (class I), alpha polypeptide,M12963_s_at
GB DEF = C-sis proto-oncogene,X83705_s_at
TCRA T cell receptor alpha-chain,M12959_s_at
PROBABLE PROTEIN DISULFIDE ISOMERASE ER-60 PRECURSOR,M13560_s_at
C1NH Complement component 1 inhibitor (angioedema, hereditary),M13690_s_at
PULMONARY SURFACTANT-ASSOCIATED PROTEIN A PRECURSOR,M13686_s_at
PKS PROTO-ONCOGENE SERINE/THREONINE-PROTEIN KINASE,M13829_s_at
ROS1 Transmembrane tyrosine-specific protein kinase ROS1,M34353_s_at
DELTA-AMINOLEVULINIC ACID DEHYDRATASE,M13928_s_at
InhA gene exon 1 (and joined CDS),X04445_rna1_s_at
GB DEF = IL-4 gene splice variant,X81851_s_at
BCL2 B-cell CLL/lymphoma 2,M13994_s_at
GB DEF = Uroporphyrinogen decarboxylase (URO-D) gene, partial cds,M60891_s_at
Beta-A3/A1 crystallin (CYRBA3/A1) mRNA, partial cds,U59058_s_at
ENO1 Enolase 1, (alpha),M14328_s_at
CD2 CD2 antigen (p50), sheep red blood cell receptor,M16336_s_at
PTMA gene extracted from Human prothymosin alpha mRNA,M14483_rna1_s_at
